,Fecha,Rango_edad,Casos,Hospitalizados,Ingresos_uci,Fallecidos,Casos nuevos14,Casos nuevos7,Casos nuevos,Población,IA 7 días,IA 14 días
320,2020-04-04,50 a 59,273,114,6,1,224.0,77.0,8,89964,85.58979147214441,248.98848428260195
321,2020-04-04,60 a 69,224,137,22,5,161.0,51.0,5,77345,65.93832826944211,208.15825198784665
322,2020-04-04,70 a 79,212,156,17,21,168.0,56.0,3,53066,105.52896393170768,316.58689179512305
323,2020-04-04,Mayor de 80,289,145,0,51,260.0,115.0,10,41042,280.20076994298523,633.4973929145754
324,2020-04-05,0 a 9,3,2,1,0,2.0,2.0,0,46913,4.263210623920875,4.263210623920875
325,2020-04-05,10 a 19,8,4,0,0,3.0,1.0,1,55828,1.7912158773375368,5.37364763201261
326,2020-04-05,20 a 29,72,17,2,0,50.0,15.0,0,50505,29.7000297000297,99.000099000099
327,2020-04-05,30 a 39,136,30,4,0,92.0,24.0,0,70473,34.055595760078326,130.54645041363358
328,2020-04-05,40 a 49,245,91,10,1,181.0,50.0,1,97769,51.14095469934233,185.13025601161922
329,2020-04-05,50 a 59,277,118,7,1,217.0,66.0,4,89964,73.3626784046952,241.2075941487706
330,2020-04-05,60 a 69,227,141,22,5,156.0,46.0,3,77345,59.4737862822419,201.69371000064643
331,2020-04-05,70 a 79,215,159,20,22,158.0,45.0,3,53066,84.80006030226511,297.74243395017527
332,2020-04-05,Mayor de 80,305,159,0,58,261.0,114.0,16,41042,277.76424150869843,635.9339213488621
333,2020-04-06,0 a 9,3,2,1,0,2.0,1.0,0,46913,2.1316053119604375,4.263210623920875
334,2020-04-06,10 a 19,8,4,0,0,3.0,1.0,0,55828,1.7912158773375368,5.37364763201261
335,2020-04-06,20 a 29,73,17,2,0,49.0,15.0,1,50505,29.7000297000297,97.02009702009701
336,2020-04-06,30 a 39,137,30,4,0,86.0,18.0,1,70473,25.541696820058746,122.03255147361402
337,2020-04-06,40 a 49,250,94,10,1,176.0,45.0,5,97769,46.02685922940809,180.016160541685
338,2020-04-06,50 a 59,281,124,7,1,205.0,63.0,4,89964,70.0280112044818,227.86892534791696
339,2020-04-06,60 a 69,237,147,22,5,156.0,49.0,10,77345,63.35251147456202,201.69371000064643
340,2020-04-06,70 a 79,218,160,22,25,153.0,41.0,3,53066,77.26227716428598,288.3202050277014
341,2020-04-06,Mayor de 80,313,169,0,62,246.0,104.0,8,41042,253.39895716583013,599.3859948345597
342,2020-04-07,0 a 9,3,2,1,0,2.0,1.0,0,46913,2.1316053119604375,4.263210623920875
343,2020-04-07,10 a 19,8,4,0,0,1.0,1.0,0,55828,1.7912158773375368,1.7912158773375368
344,2020-04-07,20 a 29,75,17,2,0,49.0,15.0,2,50505,29.7000297000297,97.02009702009701
345,2020-04-07,30 a 39,144,30,4,0,83.0,22.0,7,70473,31.217629446738467,117.7756020036042
346,2020-04-07,40 a 49,260,95,10,1,164.0,47.0,10,97769,48.07249741738179,167.74233141384283
347,2020-04-07,50 a 59,289,127,7,2,196.0,61.0,8,89964,67.80489973767286,217.86492374727672
348,2020-04-07,60 a 69,240,148,22,5,145.0,44.0,3,77345,56.887969487361815,187.471717628806
349,2020-04-07,70 a 79,232,168,23,26,154.0,47.0,14,53066,88.56895187125465,290.2046508121961
350,2020-04-07,Mayor de 80,342,183,0,65,267.0,115.0,29,41042,280.20076994298523,650.5530919545831
351,2020-04-08,0 a 9,3,2,1,0,2.0,0.0,0,46913,0.0,4.263210623920875
352,2020-04-08,10 a 19,8,4,0,0,1.0,1.0,0,55828,1.7912158773375368,1.7912158773375368
353,2020-04-08,20 a 29,77,17,2,0,41.0,14.0,2,50505,27.72002772002772,81.18008118008117
354,2020-04-08,30 a 39,151,33,4,0,73.0,25.0,7,70473,35.47457891674826,103.58577043690491
355,2020-04-08,40 a 49,269,98,10,1,147.0,50.0,9,97769,51.14095469934233,150.35440681606644
356,2020-04-08,50 a 59,301,132,7,2,159.0,62.0,12,89964,68.91645547107733,176.7373616113112
357,2020-04-08,60 a 69,244,149,22,6,124.0,43.0,4,77345,55.59506108992178,160.32064128256513
358,2020-04-08,70 a 79,240,173,25,26,140.0,50.0,8,53066,94.222289224739,263.8224098292692
359,2020-04-08,Mayor de 80,360,196,0,70,254.0,130.0,18,41042,316.7486964572877,618.8782223088543
360,2020-04-09,0 a 9,4,3,1,0,3.0,1.0,1,46913,2.1316053119604375,6.394815935881312
361,2020-04-09,10 a 19,9,4,0,0,2.0,2.0,1,55828,3.5824317546750737,3.5824317546750737
362,2020-04-09,20 a 29,81,18,2,0,35.0,16.0,4,50505,31.68003168003168,69.3000693000693
363,2020-04-09,30 a 39,154,34,4,0,66.0,27.0,3,70473,38.31254523008812,93.6528883402154
364,2020-04-09,40 a 49,274,99,10,1,126.0,47.0,5,97769,48.07249741738179,128.87520584234267
365,2020-04-09,50 a 59,304,133,7,2,139.0,50.0,3,89964,55.577786670223645,154.50624694322173
366,2020-04-09,60 a 69,252,154,25,6,107.0,41.0,8,77345,53.00924429504169,138.3411985260844
367,2020-04-09,70 a 79,242,177,26,26,119.0,44.0,2,53066,82.91561451777032,224.24904835487885
368,2020-04-09,Mayor de 80,370,207,0,74,238.0,111.0,10,41042,270.4546562058379,579.8937673602651
369,2020-04-10,0 a 9,4,3,1,0,3.0,1.0,0,46913,2.1316053119604375,6.394815935881312
370,2020-04-10,10 a 19,9,4,0,0,2.0,2.0,0,55828,3.5824317546750737,3.5824317546750737
371,2020-04-10,20 a 29,85,19,2,0,37.0,14.0,4,50505,27.72002772002772,73.26007326007326
372,2020-04-10,30 a 39,158,34,4,0,62.0,27.0,4,70473,38.31254523008812,87.97695571353569
